Link,ISO,adm0_ID,adm0_name,adm1_ID,adm1_name,adm2_ID,adm2_name,adm3_ID,adm3_name,Year,Month,Patients
202-2019-1,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,1,0
202-2019-2,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,2,0
202-2019-3,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,3,0
202-2019-4,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,4,0
202-2019-5,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,5,0
202-2019-6,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,6,0
202-2019-7,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,7,0
202-2019-8,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,8,0
202-2019-9,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,9,0
202-2019-10,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,10,0
202-2019-11,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,11,0
202-2019-12,GRC,89,Greece,6,Macedonia and Thrace,9,East Macedonia and Thrace,202,Abdera,2019,12,0
44-2019-1,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,1,0
44-2019-2,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,2,0
44-2019-3,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,3,0
44-2019-4,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,4,0
44-2019-5,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,5,1
44-2019-6,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,6,0
44-2019-7,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,7,1
44-2019-8,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,8,0
44-2019-9,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,9,0
44-2019-10,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,10,2
44-2019-11,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,11,0
44-2019-12,GRC,89,Greece,3,Attica,4,Attica,44,Acharnes,2019,12,0
45-2019-1,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,1,0
45-2019-2,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,2,0
45-2019-3,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,3,0
45-2019-4,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,4,0
45-2019-5,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,5,0
45-2019-6,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,6,0
45-2019-7,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,7,0
45-2019-8,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,8,0
45-2019-9,GRC,89,Greece,3,Attica,4,Attica,45,Aegina,2019,9,0
